,,,
sudo,apt,update,sudo apt update && sudo apt install -y openssh-server
ssh,-b,,ssh -b
sudo,systemctl,status,sudo systemctl status ssh
sudo,systemctl,enable,sudo systemctl enable --not ssh
sudo,systemctl,enable,sudo systemctl enable --now ssh
java,-ver,,java -ver
sudo,apt,update,sudo apt update
uname,,,uname
uname,-a,,uname -a
lsb_release,-a,,lsb_release -a
cat,/etc/os-release,,cat /etc/os-release 
cat,/etc/issue,,cat /etc/issue
clear,,,clear
cat,/proc/cpuinfo,,cat /proc/cpuinfo
su,-,,su -
sudo,su,,sudo su
who,,,who
whoami,,,whoami
sudo,su,,sudo su
pwd,,,pwd
sudo,-i,,sudo -i
lsb_release,-a,,lsb_release -a
ping,8.8.8.8,,ping 8.8.8.8
df,-h,,df -h
free,,,free
clear,,,clear
systemctl,list-units,--type=service,systemctl list-units --type=service --state=running
systemctl,list-units,--type=service,systemctl list-units --type=service
top,,,top
sudo,ufw,status,sudo ufw status
dpkg,--list,,dpkg --list
timedatectl,,,timedatectl
sudo,timedatectl,set-timezone,sudo timedatectl set-timezone Asia/Seoul
timedatectl,,,timedatectl
sudo,init,0,sudo init 0
pwd,,,pwd
cd,/var/www/,,cd /var/www/
pwd,,,pwd
cd,html,,cd html
ls,,,ls
xd,_,,xd _
cd,~,,cd ~
pwd,,,pwd
whoami,,,whoami
exit,,,exit
sudo,apt,install,sudo apt install curl gnupg2 ca-certificates lsb-release ubuntu-keyring
systemctl,,,systemctl
sudo,apt,update,sudo apt update
sudo,apt,install,sudo apt install nginx
systemctl,,,systemctl
systemctl,stop,nginx,systemctl stop nginx
sudo,system,restart,sudo system restart nginx
sudo,systemctl,restart,sudo systemctl restart nginx
sudo,systemctl,status,sudo systemctl status nginx
systemctl,reload,,systemctl reload
systemctl,reload,nginx,systemctl reload nginx
sudo,systemctl,start,sudo systemctl start nginx
systemctl,reload,nginx,systemctl reload nginx
apt,list,,apt list
apt,list,|,apt list | grep nginx
sudo,systemctl,status,sudo systemctl status nginx
curl,http://127.0.0.1:80,,curl http://127.0.0.1:80
which,nginx,,which nginx
clear,,,clear
sudo,apt,install,sudo apt install tree
ls,/etc/,,ls /etc/
clear,,,clear
ls,/etc/n,,ls /etc/n
ls,etc/n*,,ls etc/n*
ls,/etc/n*,,ls /etc/n*
clear,,,clear
